Year,Host,P1.t,P2.t,P3.t,P4.t,P5.t,P6.t,P7.t,P1.c,P2.c,P3.c,P4.c,P5.c,P6.c,P7.c,Source,Website,Notes
2019,GBR,N,G,C,N,C,G,,RSA,UKR,CRO,SLV,USA,IND,,AOPS,https://artofproblemsolving.com/wiki/index.php/IMO_Problems_and_Solutions,
2018,ROM,G,A,C,C,N,G,,GRE,SVK,IRN,ARM,MNG,POL,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2017,BRA,N,A,C,G,C,N,,RSA,ALB,AUT,LUX,RUS,USA,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2016,HKG,G,C,N,N,A,C,,BEL,AUS,RUS,LUX,RUS,CZE,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2015,THA,C,N,G,G,A,C,,NET,SMN,UKR,GRE,ALB,AUS,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2014,RSA,A,C,G,G,N,C,,AUT,CRO,IRN,GEO,LUX,AUT,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2013,COL,N,C,G,G,A,C,,JAP,AUS,RUS,THA,BGR,RUS,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2012,ARG,G,A,C,A,G,N,,GRE,AUS,CAN,RSA,CZE,SRB,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2011,NET,A,C,A,C,N,G,,MEX,GBR,BLR,IRN,IRN,JAP,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2010,KAZ,A,G,A,G,C,A,,FRA,HKG,USA,POL,NET,IRN,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2009,GER,N,G,A,G,A,C,,AUS,RUS,USA,BEL,FRA,RUS,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2008,SPA,G,A,N,A,C,G,,RUS,AUT,LTU,KOR,FRA,RUS,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2007,VIE,A,G,C,G,N,A,,NZL,LUX,RUS,CZE,GBR,NET,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2006,SLO,G,C,A,N,N,G,,KOR,SRB,IRE,USA,ROM,SRB,,IMO Shortlist,https://www.imo-official.org/problems.aspx,
2005,MEX,G,N,A,N,G,C,,ROM,NET,KOR,POL,POL,ROM,,IMO Shortlist,https://www.imomath.com/imocomp/sl05_0707.pdf,
2004,GRE,G,A,C,A,G,N,,ROM,KOR,EST,KOR,POL,IRN,,IMO Compendium,,
2003,JAP,C,N,G,G,A,N,,BRA,BGR,POL,FIN,IRE,FRA,,IMO Compendium,,
2002,GBR,C,G,N,N,A,G,,COL,KOR,ROM,ROM,IND,UKR,,IMO Compendium,,
2001,USA,G,A,C,C,G,N,,KOR,KOR,GER,CAN,ISR,BGR,,IMO Compendium,,
2000,KOR,G,A,A,C,N,G,,RUS,USA,BLR,HUN,RUS,RUS,,IMO Compendium,,
1999,ROM,G,A,C,N,G,A,,EST,POL,BLR,TWN,RUS,JAP,,IMO Compendium,,
1998,TWN,G,C,N,N,G,A,,LUX,IND,BLR,GBR,UKR,BGR,,,,
1997,ARG,C,G,A,C,N,A,,BEL,GBR,RUS,IRN,CZE,LTU,,,,
1996,IND,C,G,A,N,G,C,,FIN,CAN,ROM,RUS,ARM,FRA,,IMO Compendium,,
1995,CAN,G,A,N,A,G,N,,BGR,RUS,CZE,POL,NZL,POL,,IMO Compendium,,Problem 4 listed as a sequence on IMO shortlist
1994,HKG,A,G,N,N,A,N,,FRA,ARM,ROM,AUS,GBR,FIN,,IMO Compendium,,Problem 2 contribution listed as AUS-ARM
1993,TUR,A,G,C,G,A,C,,IRE,GBR,FIN,MKD,GER,NET,,,,
1992,RUS,N,A,C,G,A,N,,NZL,IND,CHN,FRA,ITA,GBR,,,,
1991,SWE,G,N,C,N,G,A,,USS,ROM,CHN,USA,FRA,NET,,,,
1990,CHN,G,C,N,A,C,A,,IND,CZS,ROM,TUR,GER,NET,,,,
1989,GER,C,G,C,G,N,C,,PHI,AUS,NET,ICE,SWE,POL,,,,
1988,AUS,G,C,A,A,G,N,,LUX,CZS,GBR,IRE,GRE,GER,,,,
1987,CUB,C,G,A,A,C,N,,GER,USS,GER,VIE,GDR,USS,,,,
1986,POL,N,G,C,G,A,C,,GER,CHN,GDR,ICE,GBR,GDR,,,,
1985,FIN,G,C,A,N,G,A,,GBR,AUS,NET,MON,USS,SWE,,,,
1984,CZS,A,N,G,G,A,N,,GER,NET,ROM,ROM,MON,POL,,,,
1983,FRA,A,G,N,G,C,A,,GBR,USS,GER,BEL,POL,USA,,,,
1982,HUN,A,G,A,N,G,C,,GBR,NET,USS,GBR,NET,VIE,,,,
1981,USA,G,C,N,N,G,A,,GBR,GER,NET,BEL,USS,FIN,,,,
1979,GBR,N,G,C,G,A,C,,GER,BGR,USS,USA,ISR,GER,,,,
1978,ROM,N,G,A,G,A,C,,CUB,USA,GBR,USA,FRA,NET,,,,
1977,YUG,G,C,N,A,N,A,,NET,VIE,NET,GBR,GER,BGR,,,,
1976,AUS,G,A,A,N,A,N,,CZS,FIN,NET,USA,NET,GBR,,,,
1975,BGR,A,N,G,N,C,A,,CZS,GBR,NET,USS,USS,GBR,,,,
1974,GDR,C,G,N,C,A,A,,USA,FIN,ROM,BGR,NET,SWE,,,,
1973,USS,G,C,A,C,A,N,,CZS,POL,SWE,YUG,POL,SWE,,,,
1972,POL,C,G,N,A,A,G,,USS,NET,GBR,NET,BGR,GBR,,,,
1971,CZS,A,G,N,G,C,C,,HUN,USS,POL,NET,BGR,SWE,,,,
1970,HUN,G,N,A,C,G,C,,POL,ROM,SWE,CZS,BGR,USS,,,,
1969,ROM,N,A,G,G,C,A,,GDR,HUN,POL,NET,MON,USS,,,,
1968,USS,G,N,A,G,A,A,,ROM,CZS,BGR,POL,GDR,GBR,,,,
1967,YUG,G,G,N,G,A,C,,POL,CZS,GBR,ITA,USS,HUN,,,,
1966,BGR,C,G,G,A,A,G,,USS,HUN,BGR,YUG,CZS,POL,,,,
1965,GDR,A,A,G,A,G,C,,GDR,POL,CZS,USS,ROM,POL,,,,
1964,USS,N,A,G,C,C,G,,CZS,HUN,YUG,HUN,ROM,POL,,,,
1963,POL,A,G,G,A,A,C,,CZS,USS,HUN,USS,GDR,HUN,,,,
1962,CZS,N,A,G,A,G,G,G,POL,HUN,CZS,ROM,BGR,GDR,USS,,,
1961,HUN,A,G,A,G,G,G,,HUN,POL,BGR,GDR,CZS,ROM,,,,
1960,ROM,N,A,G,G,G,G,G,BGR,HUN,ROM,HUN,CZS,BGR,GDR,,,
1959,ROM,N,A,A,G,G,G,,POL,ROM,HUN,HUN,ROM,CZS,,,,